param N_Paletes:=10; 

param N_Niveis:=135;

param Palete:
	1	2	3	4	5	6	7	:=
1	1	1200	1000	79	120	134	200	
2	2	1200	1000	79	120	234	200	
3	3	1200	80		109	153	78	60	
4	4	1200	1000	79	120	134	200	
5	5	1200	1000	79	120	234	200	
6	6	1200	80		109	153	78	60	
7	7	1200	1000	79	120	134	200	
8	8	1200	1000	79	120	234	200	
9	9	1200	80		109	153	78	60	
10	10	1200	1000	79	120	134	200	;


param Nivel:
	1	2	3	4	5	6	7:=
1	1	2	3200	120	3000	1	1
2	2	3	3200	120	3000	1	1
3	3	5	3200	120	3000	1	1
4	4	2	3200	120	3000	1	1
5	5	3	3200	120	3000	1	1
6	6	5	3200	120	3000	1	1
7	7	2	3200	120	3000	1	1
8	8	3	3200	120	3000	1	1
9	9	5	3200	120	3000	1	1
10	10	5	3200	120	3000	1	1
11	11	5	3200	120	3000	1	1
12	12	5	3200	120	3000	1	1
13	13	2	3200	120	3000	1	1
14	14	3	3200	120	3000	1	1
15	15	5	3200	120	3000	1	1
16	16	2	3200	120	3000	1	1
17	17	3	3200	120	3000	1	1
18	18	5	3200	120	3000	1	1
19	19	5	3200	120	3000	1	1
20	20	5	3200	120	3000	1	1
21	21	5	3200	120	3000	1	1
22	22	2	3200	120	3000	1	1
23	23	3	3200	120	3000	1	1
24	24	5	3200	120	3000	1	1
25	25	2	3200	120	3000	1	1
26	26	3	3200	120	3000	1	1
27	27	5	3200	120	3000	1	1
28	28	2	3200	120	3000	1	1
29	29	3	3200	120	3000	1	1
30	30	5	3200	120	3000	1	1
31	31	5	3200	120	3000	1	1
32	32	5	3200	120	3000	1	1
33	33	5	3200	120	3000	1	1
34	34	2	3200	120	3000	1	1
35	35	3	3200	120	3000	1	1
36	36	5	3200	120	3000	1	1
37	37	2	3200	120	3000	1	1
38	38	3	3200	120	3000	1	1
39	39	5	3200	120	3000	1	1
40	40	5	3200	120	3000	1	1
41	41	5	3200	120	3000	1	1
42	42	5	3200	120	3000	1	1
43	43	2	3200	120	3000	1	1
44	44	3	3200	120	3000	1	1
45	45	5	3200	120	3000	1	1
46	46	2	3200	120	3000	1	1
47	47	3	3200	120	3000	1	1
48	48	5	3200	120	3000	1	1
49	49	2	3200	120	3000	1	1
50	50	3	3200	120	3000	1	1
51	51	5	3200	120	3000	1	1
52	52	5	3200	120	3000	1	1
53	53	5	3200	120	3000	1	1
54	54	5	3200	120	3000	1	1
55	55	2	3200	120	3000	1	1
56	56	3	3200	120	3000	1	1
57	57	5	3200	120	3000	1	1
58	58	2	3200	120	3000	1	1
59	59	3	3200	120	3000	1	1
60	60	5	3200	120	3000	1	1
61	61	5	3200	120	3000	1	1
62	62	5	3200	120	3000	1	1
63	63	5	3200	120	3000	1	1
64	64	2	3200	120	3000	1	1
65	65	3	3200	120	3000	1	1
66	66	5	3200	120	3000	1	1
67	67	2	3200	120	3000	1	1
68	68	3	3200	120	3000	1	1
69	69	5	3200	120	3000	1	1
70	70	2	3200	120	3000	1	1
71	71	3	3200	120	3000	1	1
72	72	5	3200	120	3000	1	1
73	73	5	3200	120	3000	1	1
74	74	5	3200	120	3000	1	1
75	75	5	3200	120	3000	1	1
76	76	2	3200	120	3000	1	1
77	77	3	3200	120	3000	1	1
78	78	5	3200	120	3000	1	1
79	79	2	3200	120	3000	1	1
80	80	3	3200	120	3000	1	1
81	81	5	3200	120	3000	1	1
82	82	5	3200	120	3000	1	1
83	83	5	3200	120	3000	1	1
84	84	5	3200	120	3000	1	1
85	85	2	3200	120	3000	1	1
86	86	3	3200	120	3000	1	1
87	87	5	3200	120	3000	1	1
88	88	2	3200	120	3000	1	1
89	89	3	3200	120	3000	1	1
90	90	5	3200	120	3000	1	1
91	91	2	3200	120	3000	1	1
92	92	3	3200	120	3000	1	1
93	93	5	3200	120	3000	1	1
94	94	5	3200	120	3000	1	1
95	95	5	3200	120	3000	1	1
96	96	5	3200	120	3000	1	1
97	97	2	3200	120	3000	1	1
98	98	3	3200	120	3000	1	1
99	99	5	3200	120	3000	1	1
100	100	2	3200	120	3000	1	1
101	101	3	3200	120	3000	1	1
102	102	5	3200	120	3000	1	1
103	103	5	3200	120	3000	1	1
104	104	5	3200	120	3000	1	1
105	105	5	3200	120	3000	1	1
106	106	2	3200	120	3000	1	1
107	107	3	3200	120	3000	1	1
108	108	5	3200	120	3000	1	1
109	109	2	3200	120	3000	1	1
110	110	3	3200	120	3000	1	1
111	111	5	3200	120	3000	1	1
112	112	2	3200	120	3000	1	1
113	113	3	3200	120	3000	1	1
114	114	5	3200	120	3000	1	1
115	115	5	3200	120	3000	1	1
116	116	5	3200	120	3000	1	1
117	117	5	3200	120	3000	1	1
118	118	2	3200	120	3000	1	1
119	119	3	3200	120	3000	1	1
120	120	5	3200	120	3000	1	1
121	121	2	3200	120	3000	1	1
122	122	3	3200	120	3000	1	1
123	123	5	3200	120	3000	1	1
124	124	5	3200	120	3000	1	1
125	125	5	3200	120	3000	1	1
126	126	5	3200	120	3000	1	1
127	127	2	3200	120	3000	1	1
128	128	3	3200	120	3000	1	1
129	129	5	3200	120	3000	1	1
130	130	2	3200	120	3000	1	1
131	131	3	3200	120	3000	1	1
132	132	5	3200	120	3000	1	1
133	133	2	3200	120	3000	1	1
134	134	3	3200	120	3000	1	1
135	135	5	3200	120	3000	1	1;




