param N_Paletes:= 10;

param N_Niveis:= 12;

param Palete:
	1		2		3		4		5		6		7:=
1	1		1200	1000	79		120		234		200
2	2		1200	1000	79		120		234		200
3	3		1200	800		109		153		783		60
4	3		1200	800		109		153		783		60
5	3		1200	800		109		153		783		60
6	3		1200	800		109		153		783		60
7	3		1200	800		109		153		783		60
8	3		1200	800		109		153		783		60
9	3		1200	800		109		153		783		60
10	3		1200	800		109		153		783		60;

param Nivel:
	1		2		3		4		5		6		7:=
1	1		2		3200	120		3000	1		1
2	2		3		3200	120		3000	1		1
3	3		5		3200	120		3000	1		1
4	4		3		3200	120		3000	2		1
5	4		3		3200	120		3000	2		1
6	4		3		3200	120		3000	2		1
7	4		3		3200	120		3000	2		1
8	4		3		3200	120		3000	2		1
9	4		3		3200	120		3000	2		1
10	4		3		3200	120		3000	2		1
11	4		3		3200	120		3000	2		1
12	4		3		3200	120		3000	2		1;
